objectid,filename,title,format,description,creator,date
MIR001,IMG_bernie.jpg,Bernie Sanders card,image/jpeg,A small card with Bernie Sanders infromation that I got at a Bernie Sanders rally in early 2016.,Unknown,25-Apr-16
MIR002,IMG_gma.jpg,Photograph with my grandmothers,image/jpeg,A photograph of me with my grandmothers. Taken by my mother.,Haniza Yaacob-Ritz,4-Sep-04
MIR003,IMG_pp.jpg,Pride & Prejudice,image/jpeg,"My copy of Jane Austen's Pride and Prejudice for my high school sophomore English class, which is now one of my favorite books.",Jane Austen,May 2017
MIR004,IMG_ldr.jpg,Norman F***ing Rockwell CD,image/jpeg,"A copy of Lana Del Rey's Norman F***ing Rockwell, one of my favorite albums, that I purchased. ",Lana Del Rey,23-Jun-24
MIR005,,Mim's Personal Archive zine,,"A zine I made about personal archives for a final for a Pitt class, LIS2231 Community Archives. ",Mastura Ritz,30-Jul-25
MIR006,IMG_bird.jpg,Birdwatcher solarization print,image/jpeg,My first successful solarization darkroom print from my junior year of high school. Taken of a birdwatcher in Mellon Park.,Mastura Ritz,24-Sep-18
MIR007,IMG_garden.jpg,Capen Garden solarization print,image/jpeg,"I revisited solarization for a college photograohy class, ARS384 Topics of Photography. Taken of Capen Garden. This print is one of many from this project.",Mastura Ritz,27-Apr-24
MIR008,IMG_vanityfair.jpg,Vanity Fair magazine,image/jpeg,The April 2021 Vanity Fair magazine with Anya Taylor-Joy on the cover.,Vanity Fair,April 2021
MIR009,IMG_zoe.jpg,Postcard/ Letter from Zoe,image/jpeg,"A letter I received from Zoe Fritz-Sherman on the back of a Northampton, MA postcard.",Zoe Fritz-Sherman,19-May-24
MIR010,IMG_mybob.jpg,Self-portrait digital print,image/jpeg,"A self-portrait digital print of myself from a trip to Boston, MA.",Mastura Ritz,4-Nov-23
MIR011,IMG_metro.jpg,NYC Metro card,image/jpeg,A physical NYC Metro Card I got from a trip to NYC from before they fully implemented tap pay.,MTA,July 2019
MIR012,,Letter from Liz,,A letter I received from Elizabeth Macneil while she was in Paris.,Elizabeth Macneil,10-Nov-21
MIR013,,Red Velvet concert ticket,,"The (physical) concert ticket to Red Velvet's Redmare Tour on February 17, 2019 in Newark, NJ.",NJPAC,17-Feb-19
MIR014,,In-class zine,,A zine I made during a class field trip for LIS2231 Community Archives. ,Mastura Ritz,18-Jun-25
MIR015,,Covid-19 Vaccination Record Card,,The Covid-19 Vaccination Record Card I received when I got my Covid-19 vaccine during spring 2021.,CDC,18-Apr-21
MIR016,mes327.pdf,"""Unveiling Queer Women Bodies in Lebanon: Empowerment and Agency in the Narratives of Bareed Mista3jil"" paper",application/pdf,"A paper I wrote for my seminar class, MES327 Histories of Science, Nature, and the Human Body in the Middle East, about queerness in Lebanon.",Mastura Ritz,9-May-24
MIR017,MES_presentation.pdf,"""Medicine and the Body"" seminar presentation",application/pdf,"A presentation I gave during my senior seminar, MES327 Histories of Science, Nature, and the Human Body in the Middle East, discussing the bioethics of organ transplants in Egypt.",Mastura Ritz,24-Apr-24
MIR018,IMG_dune.jpg,Dune 2 movie ticket,image/jpeg,"Movie ticket from when I saw Dune: Part Two on March 28, 2024.",Cinemark,28-Mar-24
MIR019,IMG_sib.jpg,Sib week letter from Sophie and Blanca,image/jpeg,"Letter I received during Sib Week from my freshman year of college in 2020 from my bigs, Sophie Jones and Blanca Torres.","Sophie Jones, Blanca Torres",18-Oct-20
MIR020,faten.pdf,"""فاتن"" book",application/pdf,"The book ""فاتن"" by Fatima Sharafeddine, which I read in my Arabic class at Smith, ARA301. This was the first book I had read entirely in Arabic.",Fatima Sharafeddine,31-Jan-23
MIR021,IMG_voted.jpg,"""I Voted"" sticker",image/jpeg,"An ""I Voted"" sticker from the 2020 presidential election when I voted early.",Unknown,10-Oct-20
MIR022,IMG_contactsheet.jpg,Freshman photography final contact sheet print,image/jpeg,A contact sheet print from my photogrpahy final from my freshman year of high school.,Mastura Ritz,May 2017
MIR023,ant214.pdf,"""The Meaning of Home Amidst Displacement: Palestinian Perspectives in Refugees of the Revolution"" paper",application/pdf,"A paper I wrote on Palestinian displacement and refugeedom for my anthropology class at Smith, ANT214 Anthropology of Displacement, Migration, and Transnationalism.",Mastura Ritz,11-May-23
MIR024,IMG_charli.jpg,Charli xcx Pokémon card,image/jpeg,Pokémon trading card with Charli xcx that was a birthday gift to me from Stevie Gatto.,Stevie Gatto,12-Sep-23
MIR025,IMG_half.jpg,Pittsburgh 2019 Half Marathon bib,image/jpeg,Running bib from the 2019 Pittsburgh Half Marathon. ,Pittsburgh (Half) Marathon,5-May-19
MIR026,mth270.pdf,"""Geometry within Islamic Art: The Role of Quasicrystals and Aperiodic Order"" paper",application/pdf,"Mathematical paper I wrote for my geometry class at Smith, MTH270 The Shape of Space, that focused on the connection between penrose tiling and Islamic art.",Mastura Ritz,10-May-24
MIR027,IMG_eurostar.jpg,Eurostar ticket receipt,image/jpeg,"Eurostar ticket receipt for the train from London to Paris on May 18, 2022 when I was visting my friends studying abroad in Europe. ",Eurostar,18-May-22
MIR028,IMG_sjp.jpg,"""Smithies for Justice in Palestine"" sticker",image/jpeg,"A ""Smithies for Justice in Palestine"" sticker from Smith College SJP that I acquired in October 2023. (Northampton, MA)",Smith College SJP,October 2023
MIR029,viola.pdf,"Symphony No. 4 in F Minor, Op. 36 viola sheet music",application/pdf,"Viola sheet music for Symphony No. 4 in F Minor, Op. 36 IV. Finale: Allegro con fuoco (F major) that I acquired when I was in a youth program with the Pittsburgh Symphony Orchestra during early 2020. (Pittsburgh, PA)",Pyotr Ilyich Tchaikovsky,January 2020
MIR030,IMG_shawerma.jpg,Shawerma 3a Saj menu,image/jpeg,"The menu from the shawerma shop I lived by in Amman, Jordan.",Shawerma 3a Saj,June 2023
